Pääkategoria;Alakategoria;Tyyppi;Kysymys;Oikea vastaus;Vaihtoehdot (erota pilkulla tai jätä erilleen);Selitys
Tekoälyn perusteet;Taso 1: Alkeet;multiple_choice;"Mikä seuraavista kuvastaa parhaiten ""kapeaa tekoälyä"" (Narrow AI)?";"Se on suunniteltu ja opetettu suoriutumaan erinomaisesti vain yhdestä tietystä tehtävästä.";"Se osaa ajatella ja tuntea kuten ihminen suurimmassa osassa tilanteista., Se on oppinut koko Internetin jokaisen tiedon sanasta sanaan ulkoa., Se on suunniteltu ja opetettu suoriutumaan erinomaisesti vain yhdestä tietystä tehtävästä., Se voi ottaa täyden hallinnan tietokoneestasi halutessaan ilman lupaasi.";"Kaikki nykyinen ympärillämme oleva tekoäly on ns. kapeaa tekoälyä. Nämä mallit (esim. shakkikoneet, chatit, lääketieteen kuvantunnistajat) osaavat vain sen tehtävän mihin ne on opetettu."
Tekoälyn perusteet;Taso 1: Alkeet;true_false;"Onko ChatGPT esimerkki yleisestä tekoälystä (AGI), joka ymmärtää maailmaa kuten ihminen?";"Väärin";"Oikein, Väärin";"ChatGPT on kielimalli, joka ennustaa seuraavia sanoja datan perusteella. Se ei ole tietoinen tai omaa ihmisen kaltaista yleistä ymmärrystä."
Tekoälyn perusteet;Taso 2: Koneoppiminen;multiple_choice;"Mitä tarkoitetaan 'koneoppimisella'?";"Kone oppii datasta ilman että sille annetaan sääntöjä etukäteen";"Kone oppii datasta ilman että sille annetaan sääntöjä etukäteen, Kone menee kouluun, Kone lukee kirjoja, Kone päivittää itsensä";"Koneoppiminen on tekoälyn osa-alue, jossa algoritmit löytävät säännönmukaisuuksia datasta."
Tekoälyn perusteet;Taso 2: Koneoppiminen;true_false;"Tarvitseeko koneoppiminen suuria määriä dataa toimiakseen hyvin?";"Kyllä";"Kyllä, Ei välttämättä";"Mitä enemmän ja laadukkaampaa dataa on, sitä paremmin malli yleensä oppii."
Tekoälyn perusteet;Taso 3: Neuroverkot;multiple_choice;"Mikä on tekoälyn neuroverkko?";"Aivojen solujen toimintaa matkiva tietokoneohjelma";"Siimaa ja lautoja, Aivojen solujen toimintaa matkiva tietokoneohjelma, Sähköverkko, Internet-selain";"Neuroverkot on saaneet inspiraationsa ihmisaivojen hermosoluista ja niiden välisistä yhteyksistä."
Tekoälyn perusteet;Taso 4: Algoritmit;multiple_choice;"Mikä on algoritmi?";"Laskuresepti tai ohjesarja";"Laskuresepti tai ohjesarja, Tietokoneen osa, Pelin nimi, Salasana";"Algoritmi on tarkka ohje siitä, miten jokin tehtävä suoritetaan vaihe vaiheelta."
Tekoälyn perusteet;Taso 5: Datan merkitys;scenario;"SKENAARIO: Haluat opettaa tekoälyn tunnistamaan omenoita, mutta näytät sille vain kuvia punaisista omenoista. Mitä tapahtuu, kun näytät sille keltaisen omenan?";"Se ei todennäköisesti tunnista sitä omenaksi";"Se tunnistaa sen heti, Se ei todennäköisesti tunnista sitä omenaksi, Se muuttuu keltaiseksi, Se pyytää lisää dataa";"Tekoäly on vain niin viisas kuin sille annettu opetusdata. Jos se on nähnyt vain punaisia omenoita, se luulee omenan olevan aina punainen."
Tekoälyn perusteet;Taso 6: Tekoälyn historia;multiple_choice;"Milloin tekoälyn ajatus sai alkunsa?";"1950-luvulla";"1950-luvulla, 2010-luvulla, 1800-luvulla, 2000-luvulla";"Tekoälyn perusta luotiin jo 1950-luvulla, vaikka teknologia sen toteuttamiseen kehittyi vasta myöhemmin."
Tekoälyn perusteet;Taso 7: Tulevaisuus;true_false;"Voiko tekoäly joskus olla älykkäämpi kuin ihminen kaikissa asioissa?";"Tämä on hypoteettinen tilanne nimeltä AGI";"Tämä on hypoteettinen tilanne nimeltä AGI, Ei ikinä";"Tiedemiehet puhuvat AGI:stä (Artificial General Intelligence), mutta olemme vielä kaukana siitä."
Konepellin alla;Taso 1: Alkeet;multiple_choice;"Mitä tarkoitetaan opetusdatalla?";"Tietoa josta tekoäly oppii";"Tietoa josta tekoäly oppii, Koneen sähköä, Käyttöohjeita, Koulukirjoja";"Opetusdata on polttoainetta tekoälylle. Sen avulla se löytää kaavoja ja sääntöjä."
Konepellin alla;Taso 2: Laskentateho;multiple_choice;"Miksi tekoäly vaatii tehokkaita näytönohjaimia (GPU)?";"Ne osaavat laskea monta asiaa samaan aikaan";"Ne osaavat laskea monta asiaa samaan aikaan, Ne näyttävät parempia videoita, Ne eivät kuumene, Ne ovat halvempia";"Tekoäly vaatii miljardeja pieniä laskutoimituksia kerralla, mihin näytönohjaimet ovat erinomaisia."
Konepellin alla;Taso 3: Syväoppiminen;true_false;"Onko syväoppiminen sama asia kuin neuroverkko, jossa on monta kerrosta?";"Kyllä";"Kyllä, Ei";"Syväoppiminen (Deep Learning) viittaa monikerroksisiin neuroverkkoihin."
Konepellin alla;Taso 4: Painoarvot;multiple_choice;"Mitä tarkoittavat neuroverkon 'painoarvot' (weights)?";"Yhteyksien voimakkuuksia";"Yhteyksien voimakkuuksia, Koneen painoa, Tiedoston kokoa, Vastausnopeutta";"Oppiminen on käytännössä näiden pienten numeroiden (painoarvojen) säätämistä oikeiksi."
Konepellin alla;Taso 5: Luonnollinen kieli;multiple_choice;"Mitä tarkoittaa NLP?";"Luonnollisen kielen käsittely";"Luonnollisen kielen käsittely, Nopea lataus, Uusi tietokone, Väärä vastaus";"NLP (Natural Language Processing) on tekoälyn ala, joka keskittyy ihmiskielen ymmärtämiseen."
Konepellin alla;Taso 6: Takaisinvirtaus;multiple_choice;"Mikä on backpropagation?";"Tapa jolla tekoäly korjaa virheitään oppiessaan";"Tapa jolla tekoäly korjaa virheitään oppiessaan, Tietokoneen sammuttaminen, Netin selaus, Varmuuskopiointi";"Se on matemaattinen tapa siirtää virhetieto verkossa taaksepäin painoarvojen korjaamiseksi."
